komentar,noise,clean,normalized,label
TPI kurang ibadah juga kalau anda seorang muslim yg taat mengikuti apa yg di sarankan rasulullah insyaallah ga depresi,Clean,tpi kurang ibadah juga kalau anda seorang muslim yg taat mengikuti apa yg di sarankan rasulullah insyaallah ga depresi,tpi kurang ibadah juga kalau anda seorang muslim yg taat mengikuti apa yg di sarankan rasulullah insyaallah tidak depresi,Depresi
"Jangan lupa olahraga ya kak, ga bohong deh olahraga bs bikin hati bahagia dan dekatkan diri pd Tuhan Yang Esa ❤❤❤",Clean,jangan lupa olahraga ya kak ga bohong deh olahraga bs bikin hati bahagia dan dekatkan diri pd tuhan yang esa,jangan lupa olahraga ya kak tidak bohong deh olahraga bs bikin hati bahagia dan dekatkan diri pd tuhan yang esa,Normal
Keren kakak nya langsung ke Profesional dan berani mengakui penyakitnya.Lekas membaik ya kakak.,Clean,keren kakak nya langsung ke profesional dan berani mengakui penyakitnyalekas membaik ya kakak,keren kakak nya langsung ke profesional dan berani mengakui penyakitnyalekas membaik ya kakak,Normal
bukan semoga anak merasakan kek cipung tapi semoga kita kek rafi ahmad yang selalu kasih kehidupan yang enak nyaman dan bahagia ke anak,Clean,bukan semoga anak merasakan kek cipung tapi semoga kita kek rafi ahmad yang selalu kasih kehidupan yang enak nyaman dan bahagia ke anak,bukan semoga anak merasakan kek cipung tapi semoga kita kek rafi ahmad yang selalu kasih kehidupan yang enak nyaman dan bahagia ke anak,Normal
apakah seorang psikolog dia bisa depresi nggak? kalau dia depresi dia curhat sama psikolog jugak kah? dan apakah bisa phsikolog mendiagosana dirinya sendiri?,Clean,apakah seorang psikolog dia bisa depresi nggak kalau dia depresi dia curhat sama psikolog jugak kah dan apakah bisa phsikolog mendiagosana dirinya sendiri,apakah seorang psikolog dia bisa depresi nggak kalau dia depresi dia curhat sama psikolog jugak kah dan apakah bisa phsikolog mendiagosana dirinya sendiri,Depresi
Fs cinelli BRP JT lepas dok,Clean,fs cinelli brp jt lepas dok,fs cinelli brp jt lepas dok,Normal
"Pengalaman bener soal delusi. dulu sering dibully baju gk bagus, diteken ortu pula karena tampilanku sering beda dari anak2 lain (bukan nyetreng tapi emg kumuh keliatannya karena sering sedih2 dan jarang ngerawat diri), digituin terus dari SD-SMP sampe sempet di satu titik sering halusinasi warna. ngeliat diriku misal pake baju merah, padahal aslinya hijau, atau aku lagi pakai baju biru trus ngeliat semua orang sekitar pake baju kuning jadi aku ngerasa beda sendiri. Sampai titik terparah dulu halusinasi diriku b*gil gitu padahal udah pakai baju banyak gombreng ditumpuk berlapis2. pokoknya ngerasa badanku jelek, beda dari yang lain, harus diumpetin.",Clean,pengalaman bener soal delusi dulu sering dibully baju gk bagus diteken ortu pula karena tampilanku sering beda dari anak lain bukan nyetreng tapi emg kumuh keliatannya karena sering sedih dan jarang ngerawat diri digituin terus dari sdsmp sampe sempet di satu titik sering halusinasi warna ngeliat diriku misal pake baju merah padahal aslinya hijau atau aku lagi pakai baju biru trus ngeliat semua orang sekitar pake baju kuning jadi aku ngerasa beda sendiri sampai titik terparah dulu halusinasi diriku bgil gitu padahal udah pakai baju banyak gombreng ditumpuk berlapis pokoknya ngerasa badanku jelek beda dari yang lain harus diumpetin,pengalaman bener soal delusi dulu sering dibully baju tidak bagus diteken ortu pula karena tampilanku sering beda dari anak lain bukan nyetreng tapi emg kumuh keliatannya karena sering sedih dan jarang ngerawat diri digituin terus dari sdsmp sampe sempet di satu titik sering halusinasi warna ngeliat diriku misal pake baju merah padahal aslinya hijau atau aku lagi pakai baju biru trus ngeliat semua orang sekitar pake baju kuning jadi aku ngerasa beda sendiri sampai titik terparah dulu halusinasi diriku bgil gitu padahal udah pakai baju banyak gombreng ditumpuk berlapis pokoknya ngerasa badanku jelek beda dari yang lain harus diumpetin,Depresi
19:32 bersyukur bgt dlu SMA pas hidup lg berat2nya tp di sekolah ada guru2 BK yg mau sering dengerin aku cerita. Walaupun ibunya malah sering ikutan nangis😅 terimakasih banyak bu. Semoga ibu sehat selalu dan selalu dilindungi Tuhan❤,Clean,bersyukur bgt dlu sma pas hidup lg beratnya tp di sekolah ada guru bk yg mau sering dengerin aku cerita walaupun ibunya malah sering ikutan nangis terimakasih banyak bu semoga ibu sehat selalu dan selalu dilindungi tuhan,bersyukur banget dlu sma pas hidup lg beratnya tp di sekolah ada guru bk yg mau sering dengerin aku cerita walaupun ibunya malah sering ikutan menangis terimakasih banyak bu semoga ibu sehat selalu dan selalu dilindungi tuhan,Depresi
terimakasih ya dr.,Clean,terimakasih ya dr,terimakasih ya dr,Normal
"dr. tirta said 23: 53 : ""asuu cicilan akehh... IWAK LELEEE"" wkwkwk 😂",Clean,dr tirta said    asuu cicilan akehh iwak leleee wkwkwk,dr tirta said asuu cicilan akehh iwak leleee wkwkwk,Normal
"Saya bantu jawab Depresi adalah kondisi kesehatan mental yang serius dan dapat memengaruhi kehidupan sehari-hari. Namun, kabar baiknya adalah depresi bisa ditangani. Berikut beberapa solusi yang bisa Anda coba untuk mengatasi depresi:

1. Terapi:

Terapi kognitif-behavioral (CBT): Terapi ini membantu Anda mengidentifikasi dan mengubah pola pikir negatif yang berkontribusi pada depresi.
Terapi interpersonal: Terapi ini fokus pada peningkatan keterampilan sosial dan hubungan interpersonal.
Psikoterapi lain: Tersedia berbagai jenis psikoterapi yang dapat disesuaikan dengan kebutuhan individu.

2. Obat-obatan:

Antidepresan: Obat-obatan ini membantu menyeimbangkan kadar neurotransmitter di otak yang terkait dengan mood.
Konsultasi dokter: Sangat penting untuk berkonsultasi dengan dokter untuk menentukan jenis obat yang tepat dan dosis yang sesuai.

3. Perubahan Gaya Hidup:

Olahraga teratur: Olahraga melepaskan endorfin yang dapat meningkatkan mood.
Pola makan sehat: Makanan bergizi membantu menjaga kesehatan tubuh dan pikiran.
Istirahat yang cukup: Tidur yang berkualitas sangat penting untuk kesehatan mental.
Kelola stres: Teknik relaksasi seperti meditasi, yoga, atau pernapasan dalam dapat membantu mengurangi stres.
Berolahraga: Kegiatan fisik dapat meningkatkan produksi endorfin, hormon yang dapat meningkatkan suasana hati.
Berinteraksi dengan orang lain: Jalin hubungan sosial yang positif dengan keluarga dan teman.
4. Dukungan Sosial:

Bergabung dengan kelompok dukungan: Berbagi pengalaman dengan orang lain yang mengalami hal serupa dapat memberikan rasa nyaman dan dukungan.
Cari dukungan dari keluarga dan teman: Bicarakan perasaan Anda dengan orang-orang terdekat.
5. Terapi Alternatif:

Terapi musik: Mendengarkan atau memainkan musik dapat membantu meningkatkan mood.
Terapi seni: Mengekspresikan diri melalui seni dapat menjadi cara yang efektif untuk mengatasi emosi negatif.
Penting untuk diingat:

Setiap orang berbeda: Apa yang berhasil untuk satu orang mungkin tidak berhasil untuk orang lain.
Prosesnya membutuhkan waktu: Pemulihan dari depresi membutuhkan waktu dan kesabaran.
Jangan menyerah: Teruslah mencari bantuan dan dukungan jika Anda merasa kesulitan.",Clean,"saya bantu jawab depresi adalah kondisi kesehatan mental yang serius dan dapat memengaruhi kehidupan seharihari namun kabar baiknya adalah depresi bisa ditangani berikut beberapa solusi yang bisa anda coba untuk mengatasi depresi

 terapi

terapi kognitifbehavioral cbt terapi ini membantu anda mengidentifikasi dan mengubah pola pikir negatif yang berkontribusi pada depresi
terapi interpersonal terapi ini fokus pada peningkatan keterampilan sosial dan hubungan interpersonal
psikoterapi lain tersedia berbagai jenis psikoterapi yang dapat disesuaikan dengan kebutuhan individu

 obatobatan

antidepresan obatobatan ini membantu menyeimbangkan kadar neurotransmitter di otak yang terkait dengan mood
konsultasi dokter sangat penting untuk berkonsultasi dengan dokter untuk menentukan jenis obat yang tepat dan dosis yang sesuai

 perubahan gaya hidup

olahraga teratur olahraga melepaskan endorfin yang dapat meningkatkan mood
pola makan sehat makanan bergizi membantu menjaga kesehatan tubuh dan pikiran
istirahat yang cukup tidur yang berkualitas sangat penting untuk kesehatan mental
kelola stres teknik relaksasi seperti meditasi yoga atau pernapasan dalam dapat membantu mengurangi stres
berolahraga kegiatan fisik dapat meningkatkan produksi endorfin hormon yang dapat meningkatkan suasana hati
berinteraksi dengan orang lain jalin hubungan sosial yang positif dengan keluarga dan teman
 dukungan sosial

bergabung dengan kelompok dukungan berbagi pengalaman dengan orang lain yang mengalami hal serupa dapat memberikan rasa nyaman dan dukungan
cari dukungan dari keluarga dan teman bicarakan perasaan anda dengan orangorang terdekat
 terapi alternatif

terapi musik mendengarkan atau memainkan musik dapat membantu meningkatkan mood
terapi seni mengekspresikan diri melalui seni dapat menjadi cara yang efektif untuk mengatasi emosi negatif
penting untuk diingat

setiap orang berbeda apa yang berhasil untuk satu orang mungkin tidak berhasil untuk orang lain
prosesnya membutuhkan waktu pemulihan dari depresi membutuhkan waktu dan kesabaran
jangan menyerah teruslah mencari bantuan dan dukungan jika anda merasa kesulitan",saya bantu jawab depresi adalah kondisi kesehatan mental yang serius dan dapat memengaruhi kehidupan seharihari namun kabar baiknya adalah depresi bisa ditangani berikut beberapa solusi yang bisa anda coba untuk mengatasi depresi terapi terapi kognitifbehavioral cbt terapi ini membantu anda mengidentifikasi dan mengubah pola pikir negatif yang berkontribusi pada depresi terapi interpersonal terapi ini fokus pada peningkatan keterampilan sosial dan hubungan interpersonal psikoterapi lain tersedia berbagai jenis psikoterapi yang dapat disesuaikan dengan kebutuhan individu obatobatan antidepresan obatobatan ini membantu menyeimbangkan kadar neurotransmitter di otak yang terkait dengan mood konsultasi dokter sangat penting untuk berkonsultasi dengan dokter untuk menentukan jenis obat yang tepat dan dosis yang sesuai perubahan gaya hidup olahraga teratur olahraga melepaskan endorfin yang dapat meningkatkan mood pola makan sehat makanan bergizi membantu menjaga kesehatan tubuh dan pikiran istirahat yang cukup tidur yang berkualitas sangat penting untuk kesehatan mental kelola stres teknik relaksasi seperti meditasi yoga atau pernapasan dalam dapat membantu mengurangi stres berolahraga kegiatan fisik dapat meningkatkan produksi endorfin hormon yang dapat meningkatkan suasana hati berinteraksi dengan orang lain jalin hubungan sosial yang positif dengan keluarga dan teman dukungan sosial bergabung dengan kelompok dukungan berbagi pengalaman dengan orang lain yang mengalami hal serupa dapat memberikan rasa nyaman dan dukungan cari dukungan dari keluarga dan teman bicarakan perasaan anda dengan orangorang terdekat terapi alternatif terapi musik mendengarkan atau memainkan musik dapat membantu meningkatkan mood terapi seni mengekspresikan diri melalui seni dapat menjadi cara yang efektif untuk mengatasi emosi negatif penting untuk diingat setiap orang berbeda apa yang berhasil untuk satu orang mungkin tidak berhasil untuk orang lain prosesnya membutuhkan waktu pemulihan dari depresi membutuhkan waktu dan kesabaran jangan menyerah teruslah mencari bantuan dan dukungan jika anda merasa kesulitan,Stress
Curhat boleh juga kok ke guru BK 😌,Clean,curhat boleh juga kok ke guru bk,curhat boleh juga kok ke guru bk,Normal
Chat gpt sikolog grstis,Clean,chat gpt sikolog grstis,chat gpt sikolog grstis,Normal
"Aku pernah ngalamin baby blues dan sempet halusinasi suara. Jadi aku ngedenger suara suara orang rame banget padahal lg dirumah dan kondisi rumah gak rame cuma ada aku, suami, anak sm orangtua aja tapi aku selalu denger suara rame banget tiap waktu dan kutanya org rumah lain nya mereka gak denger apa2. Akhirnya aku mutusin ke psikolog dan psikiater, kata dokternya aku cukup aware sm masalah mental aku jdnya penanganan nya lebih cepat, jadi sebulan setengah pengobatan alhamdulillah sembuh. Emg support dari keluarga terutama suami dan tambahan obat sangat berpengaruh untuk kesembuhan mental.",Clean,aku pernah ngalamin baby blues dan sempet halusinasi suara jadi aku ngedenger suara suara orang rame banget padahal lg dirumah dan kondisi rumah gak rame cuma ada aku suami anak sm orangtua aja tapi aku selalu denger suara rame banget tiap waktu dan kutanya org rumah lain nya mereka gak denger apa akhirnya aku mutusin ke psikolog dan psikiater kata dokternya aku cukup aware sm masalah mental aku jdnya penanganan nya lebih cepat jadi sebulan setengah pengobatan alhamdulillah sembuh emg support dari keluarga terutama suami dan tambahan obat sangat berpengaruh untuk kesembuhan mental,aku pernah ngalamin baby blues dan sempet halusinasi suara jadi aku ngedenger suara suara orang rame banget padahal lg dirumah dan kondisi rumah gak rame cuma ada aku suami anak sama orangtua aja tapi aku selalu denger suara rame banget tiap waktu dan kutanya org rumah lain nya mereka gak denger apa akhirnya aku mutusin ke psikolog dan psikiater kata dokternya aku cukup aware sama masalah mental aku jdnya penanganan nya lebih cepat jadi sebulan setengah pengobatan alhamdulillah sembuh emg support dari keluarga terutama suami dan tambahan obat sangat berpengaruh untuk kesembuhan mental,Normal
Gmn gak memendam... Wong akar masalahnya g bisa selesai...,Clean,gmn gak memendam wong akar masalahnya g bisa selesai,gmn gak memendam wong akar masalahnya g bisa selesai,Normal
Lg stand up comedy boss tirta....kocak....,Clean,lg stand up comedy boss tirtakocak,lg stand up comedy boss tirtakocak,Normal
"Kebanyakan tu orang adu nasib dok. Kadang belom selesai cerita nih orang udah adu nasib, "" Lu mending, gue gini gini gini"".
Makannya saya males cerita masalah ke temen2, sekalipun temen deket. Saya pendem.
Saya laki laki , dan saya curhat ke mama. Ada masalah di kehidupan saya, di kehidupan kampus, selagi saya bisa nyelesain sendiri saya selesain sendiri dan saya gak cerita. Tapi saat masalahnya berat dan rasa sedih yg berkepanjangan hingga otak buntu saya akan cerita ke mama.
Bersyukur punya mama yg mau ngedengerin dan selalu support anaknya.",Clean,"kebanyakan tu orang adu nasib dok kadang belom selesai cerita nih orang udah adu nasib  lu mending gue gini gini gini
makannya saya males cerita masalah ke temen sekalipun temen deket saya pendem
saya laki laki  dan saya curhat ke mama ada masalah di kehidupan saya di kehidupan kampus selagi saya bisa nyelesain sendiri saya selesain sendiri dan saya gak cerita tapi saat masalahnya berat dan rasa sedih yg berkepanjangan hingga otak buntu saya akan cerita ke mama
bersyukur punya mama yg mau ngedengerin dan selalu support anaknya",kebanyakan tu orang adu nasib dok kadang belom selesai cerita nih orang udah adu nasib lu mending saya gini gini gini makannya saya males cerita masalah ke temen sekalipun temen deket saya pendem saya laki laki dan saya curhat ke mama ada masalah di kehidupan saya di kehidupan kampus selagi saya bisa nyelesain sendiri saya selesain sendiri dan saya gak cerita tapi saat masalahnya berat dan rasa sedih yg berkepanjangan hingga otak buntu saya akan cerita ke mama bersyukur punya mama yg mau ngedengerin dan selalu support anaknya,Depresi
"dok, saya sadar saya depresi. dan saya nonton yg membahas tentang Mental Illnes. Ternyata saya semakin yakin kalo saya kena mental, karna gejala psikosomatis sering saya alami.
Saya anak pertama perempuan tanpa sosok ayah (sudah meninggal). saya merasa dipaksa untuk serba bisa dalam segala hal. tapi ketika saya mau mengeluarkan pendapat atau bercerita malah diabaikan, makanya saya lebih memilih memendam. bahkan untuk menikah saja sejujurnya saya takut
mau ke psikolog/psikiater nanti malah saya dianggap gila dok",Clean,"dok saya sadar saya depresi dan saya nonton yg membahas tentang mental illnes ternyata saya semakin yakin kalo saya kena mental karna gejala psikosomatis sering saya alami
saya anak pertama perempuan tanpa sosok ayah sudah meninggal saya merasa dipaksa untuk serba bisa dalam segala hal tapi ketika saya mau mengeluarkan pendapat atau bercerita malah diabaikan makanya saya lebih memilih memendam bahkan untuk menikah saja sejujurnya saya takut
mau ke psikologpsikiater nanti malah saya dianggap gila dok",dok saya sadar saya depresi dan saya nonton yg membahas tentang mental illnes ternyata saya semakin yakin kalo saya kena mental karna gejala psikosomatis sering saya alami saya anak pertama perempuan tanpa sosok ayah sudah meninggal saya merasa dipaksa untuk serba bisa dalam segala hal tapi ketika saya mau mengeluarkan pendapat atau bercerita malah diabaikan makanya saya lebih memilih memendam bahkan untuk menikah saja sejujurnya saya takut mau ke psikologpsikiater nanti malah saya dianggap gila dok,Depresi
Guru BK q jaman SMK. Selama 3 tahun aku SMK sudah ada 2 korban teman seangkatanq yang bundir abis dipanggil untuk ngobrol sama dy. G tw bagaimana dy ngmng sama 2 temen seangkatan q itu. Sampai2 mereka hopeless dan sampai bundir,Clean,guru bk q jaman smk selama  tahun aku smk sudah ada  korban teman seangkatanq yang bundir abis dipanggil untuk ngobrol sama dy g tw bagaimana dy ngmng sama  temen seangkatan q itu sampai mereka hopeless dan sampai bundir,guru bk q jaman smk selama tahun aku smk sudah ada korban teman seangkatanq yang bundir abis dipanggil untuk ngobrol sama dy g tw bagaimana dy ngmng sama temen seangkatan q itu sampai mereka hopeless dan sampai bundir,Normal
"dari beberapa olahrga atau gym aja biar pikirian sehat , saya sudah melakukan hal tersebut 1 bulan kurang jalan kaki dari sekolah sampe rumah dan waktu sampe ke rumah bisa sampe 20 menitan lebih kalo saya tidak berhenti tapi kalo berhenti bisa 30 menit apakah suasana saya sehat? tentuk tidak , makanya itu 1 bulan kurang itu saya nangis di dalam hati dan pas curhat ke temen baru nangis saya keluar di wajah saya dan sehabis itu saya kembali normal",Clean,dari beberapa olahrga atau gym aja biar pikirian sehat  saya sudah melakukan hal tersebut  bulan kurang jalan kaki dari sekolah sampe rumah dan waktu sampe ke rumah bisa sampe  menitan lebih kalo saya tidak berhenti tapi kalo berhenti bisa  menit apakah suasana saya sehat tentuk tidak  makanya itu  bulan kurang itu saya nangis di dalam hati dan pas curhat ke temen baru nangis saya keluar di wajah saya dan sehabis itu saya kembali normal,dari beberapa olahrga atau gym aja biar pikirian sehat saya sudah melakukan hal tersebut bulan kurang jalan kaki dari sekolah sampe rumah dan waktu sampe ke rumah bisa sampe menitan lebih kalo saya tidak berhenti tapi kalo berhenti bisa menit apakah suasana saya sehat tentuk tidak makanya itu bulan kurang itu saya menangis di dalam hati dan pas curhat ke temen baru menangis saya keluar di wajah saya dan sehabis itu saya kembali normal,Depresi
Tontonan buat para wibu,Clean,tontonan buat para wibu,tontonan buat para wibu,Normal
"Aku punya pengalaman traumatis yang ngefeknya sampe sekarang, datang ke psikiater, psikolog, ortuku malah bilang aku ngebuat buat masalah sendiri, tinggal ga usah dipikirin lah apalah, lebay banget sampe datang ke dokter 🫵😩",Clean,aku punya pengalaman traumatis yang ngefeknya sampe sekarang datang ke psikiater psikolog ortuku malah bilang aku ngebuat buat masalah sendiri tinggal ga usah dipikirin lah apalah lebay banget sampe datang ke dokter,aku punya pengalaman traumatis yang ngefeknya sampe sekarang datang ke psikiater psikolog ortuku malah bilang aku ngebuat buat masalah sendiri tinggal tidak usah dipikirin lah apalah lebay banget sampe datang ke dokter,Normal
kak gimana udh coba ke psikolog/ke psikiater ?,Clean,kak gimana udh coba ke psikologke psikiater,kak gimana sudah coba ke psikologke psikiater,Normal
"Izin berpendapat ya kak, kebetulan saya mengambil Major BK. Saat ini ada beberapa guru BK yang tidak berlatar belakang pendidikan BK sehingga beliau kurang mendalamu keilmuan BK tersebut, lain halnya apabila mengambil Major BK yang mempelajari Psikologi secara general. Konselor/guru BK dilatih berbagai rupa keilmuan Psikologi untuk diaplikasikan dalam ke BKan. Mungkin saja beliau kurang mengaplikasikan keilmuan tersebut sehingga berefek pada hasil dari konselingnya",Clean,izin berpendapat ya kak kebetulan saya mengambil major bk saat ini ada beberapa guru bk yang tidak berlatar belakang pendidikan bk sehingga beliau kurang mendalamu keilmuan bk tersebut lain halnya apabila mengambil major bk yang mempelajari psikologi secara general konselorguru bk dilatih berbagai rupa keilmuan psikologi untuk diaplikasikan dalam ke bkan mungkin saja beliau kurang mengaplikasikan keilmuan tersebut sehingga berefek pada hasil dari konselingnya,izin berpendapat ya kak kebetulan saya mengambil major bk saat ini ada beberapa guru bk yang tidak berlatar belakang pendidikan bk sehingga beliau kurang mendalamu keilmuan bk tersebut lain halnya apabila mengambil major bk yang mempelajari psikologi secara general konselorguru bk dilatih berbagai rupa keilmuan psikologi untuk diaplikasikan dalam ke bkan mungkin saja beliau kurang mengaplikasikan keilmuan tersebut sehingga berefek pada hasil dari konselingnya,Normal
" @indrinurhayatun6709  mungkin yah, tapi itu beneran terjadi. Karena salah satunya yang bundir itu temen yang aku kenal. Dan yang kasus anak bundir yang 1 nya lain dr temenq itu sampe masuk ke berita di jawa timur. Tapi kejadian udah lama sie, sekitar 20 tahun lalu. Guru BK nya sekarang juga udah almarhum",Noise,mungkin yah tapi itu beneran terjadi karena salah satunya yang bundir itu temen yang aku kenal dan yang kasus anak bundir yang  nya lain dr temenq itu sampe masuk ke berita di jawa timur tapi kejadian udah lama sie sekitar  tahun lalu guru bk nya sekarang juga udah almarhum,mungkin yah tapi itu beneran terjadi karena salah satunya yang bundir itu temen yang aku kenal dan yang kasus anak bundir yang nya lain dr temenq itu sampe masuk ke berita di jawa timur tapi kejadian udah lama sie sekitar tahun lalu guru bk nya sekarang juga udah almarhum,Normal
"kak, kita sama. peluk jauh kak👥. kamu ada teman kak, terus berusaha menyembuhkan dan tetep berusaha bertahan dan kuat ya kak😊💪🏻",Clean,kak kita sama peluk jauh kak kamu ada teman kak terus berusaha menyembuhkan dan tetep berusaha bertahan dan kuat ya kak,kak kita sama peluk jauh kak kamu ada teman kak terus berusaha menyembuhkan dan tetep berusaha bertahan dan kuat ya kak,Normal
Njir lg down mlh video dr. Tirta muncul di home ytb.. baru thn kmarin 2x obname gegara mental health & emang sebahaya itu self diagnos..,Clean,njir lg down mlh video dr tirta muncul di home ytb baru thn kmarin x obname gegara mental health  emang sebahaya itu self diagnos,njir lg down mlh video dr tirta muncul di home ytb baru thn kmarin x obname gegara mental health emang sebahaya itu self diagnos,Normal
"Berarti kebanyakan keinginan tapi tdk tercapai, byk bersyukur masih bisa bernafas , masih ada Tuhan yg maha pengasih, jgn mudah percaya hoax2 dari internet info yg tdk jelas.",Clean,berarti kebanyakan keinginan tapi tdk tercapai byk bersyukur masih bisa bernafas  masih ada tuhan yg maha pengasih jgn mudah percaya hoax dari internet info yg tdk jelas,berarti kebanyakan keinginan tapi tdk tercapai byk bersyukur masih bisa bernafas masih ada tuhan yg maha pengasih jgn mudah percaya hoax dari internet info yg tdk jelas,Normal
Kalo pertanyaan dijawab dengan sadar dan itu buat bercandaan aja bagaimana dok?,Clean,kalo pertanyaan dijawab dengan sadar dan itu buat bercandaan aja bagaimana dok,kalo pertanyaan dijawab dengan sadar dan itu buat bercandaan aja bagaimana dok,Normal
"Depresi?
Beli 1 Set Anggur Api!!!
Tidur!!!",Clean,"depresi
beli  set anggur api
tidur",depresi beli set anggur api tidur,Depresi
"Tapi jujur ya, gw sebagai gen z merasa karena saking terbukanya informasi malah jadi bikin stres sih, entah adanya standar2 baru, dll. Itu bener2 bikin lumayan depresi, makanya lagi mau coba detox medsos dl",Clean,tapi jujur ya gw sebagai gen z merasa karena saking terbukanya informasi malah jadi bikin stres sih entah adanya standar baru dll itu bener bikin lumayan depresi makanya lagi mau coba detox medsos dl,tapi jujur ya saya sebagai gen z merasa karena saking terbukanya informasi malah jadi bikin stres sih entah adanya standar baru dll itu bener bikin lumayan depresi makanya lagi mau coba detox medsos dl,Stress
ngakak bikin happy nih konten,Clean,ngakak bikin happy nih konten,ngakak bikin happy nih konten,Normal
"Dulu aku sering ngmng sndri bbrapa tahun, se akan2 aku bisa mewejudkan bbrapa karakter, aku menciptakan bahagia ku d khayalan, karna mnurutku dunia ku tidak bahagia.",Clean,dulu aku sering ngmng sndri bbrapa tahun se akan aku bisa mewejudkan bbrapa karakter aku menciptakan bahagia ku d khayalan karna mnurutku dunia ku tidak bahagia,dulu aku sering ngmng sndri bbrapa tahun se akan aku bisa mewejudkan bbrapa karakter aku menciptakan bahagia ku d khayalan karna mnurutku dunia ku tidak bahagia,Normal
"Sekarang aku curhatnya di chat gpt, worth it sih",Clean,sekarang aku curhatnya di chat gpt worth it sih,sekarang aku curhatnya di chat gpt worth it sih,Normal
